,సినిమా పేరు,దర్శకుడు,నటులు,శైలి,తేదీ,సంవత్సరం,నెల
215,ఎం.ఎల్.ఎ.,కె. బి. తిలక్,జగ్గయ్య,సామాజిక రాజకీయ,1941-01-01,1957,1
216,మాయాబజార్,K. V. రెడ్డి,ఎన్.టి.రామారావు,పురాణశాస్త్రం,1941-01-01,1957,1
217,నాలా దమయంతి,కామరాజ్,ప్. భానుమతి,పురాణశాస్త్రం,1941-01-01,1957,1
218,పాండురంగ మహత్యం,కమలాకర కామేశ్వరరావు,ఎన్.టి.రామారావు,భక్తిప్రపత్తులు,1941-01-01,1957,1
219,స్వాధీనత,కృష్ణన్ పంజు,శివాజీ గణేశన్,కాదు_నిర్దిష్ట,1941-01-01,1957,1
220,పెద్దరికలు,కానీ చాణక్యుడు,జగ్గయ్య,నాటకం,1941-01-01,1957,1
221,ప్రేమే దైవం,ఆర్. నాగేంద్రరావు,ఆర్. నాగేంద్రరావు,నాటకం,1941-01-01,1957,1
222,రాజపుత్రి రహస్ము,పి. నీలకంఠన్,M. G. రామచంద్రన్,కాదు_నిర్దిష్ట,1941-01-01,1957,1
223,రాణి రంగమ్మ,T. R. రఘునాథ్,జైమిని గణేశన్,కాదు_నిర్దిష్ట,1941-01-01,1957,1
224,రత్నగిరి రహస్యం,బి. ర్. పంతులు,శివాజీ గణేశన్,కాదు_నిర్దిష్ట,1941-01-01,1957,1
225,రేపు నీదే,కె. భాస్కర్ రావు,S. V. రంగారావు,నాటకం,1941-01-01,1957,1
226,సంకల్పం,ఎస్. v. రంగనాథ్ దాస్,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1957,1
230,బంగారు అందం,వేదాంతం రాఘవ,అక్కినేని నాగేశ్వర రావు,జానపద సాహిత్యం,1941-01-01,1957,1
231,స్వయంప్రభ,శోభనాద్రి రావు,"అమర్‌నాథ్,",జానపద సాహిత్యం,1941-01-01,1957,1
232,తలవంచని వీరుడు,బి. హడావిడి,శివాజీ గణేశన్,కాదు_నిర్దిష్ట,1941-01-01,1957,1
233,తోడి కోడలు,ఆదుర్తి సుబ్బారావు,అక్కినేని నాగేశ్వర రావు,నాటకం,1941-01-01,1957,1
234,టౌన్ బస్,కె. సం,N. N. కన్నప్ప,కాదు_నిర్దిష్ట,1941-01-01,1957,1
235,వదంటే డబ్బు,Y. R. స్వామి,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1957,1
236,వరుడు కావాలి,P. S. రామకృష్ణారావు,ప్. భానుమతి,కామెడీ డ్రామా,1941-01-01,1957,1
237,వీర కంకణం,జి. ఆర్. రావు,ఎన్.టి.రామారావు,పురాణశాస్త్రం,1941-01-01,1957,1
238,ఇరుక్కుపోవడం,T. R. రఘునాథ్,వైజయంతిమాల,కాదు_నిర్దిష్ట,1941-01-01,1957,1
239,వినాయక చవితి,సముద్రాల,ఎన్.టి.రామారావు,భక్తిప్రపత్తులు,1941-01-01,1957,1
240,ఆడ పెత్తనం,ఆదుర్తి సుబ్బారావు,ఎ. నాగేశ్వరరావు,శృంగారం,1941-01-01,1958,1
241,అన్న తమ్ముడు,C. S. రావు,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1958,1
242,అత్త ఒకింటి కోడలు,కె. బి. తిలక్,జగ్గయ్య,నాటకం,1941-01-01,1958,1
243,బడి పంతులు,బి. ర్. పంతులు,బి. ర్. పంతులు,నాటకం,1941-01-01,1958,1
245,కొనసాగించండి,డి. యోగానంద్,జైమిని గణేశన్,జానపద సాహిత్యం,1941-01-01,1958,1
246,బొమ్మల పెళ్లి,R. M. కృష్ణస్వామి,శివాజీ గణేశన్,రొమాంటిక్ కామెడీ,1941-01-01,1958,1
248,దొంగలున్నారు జాగ్రత్త,బి ఎన్ రెడ్డి,జగ్గయ్య,నాటకం,1941-01-01,1958,1
249,స్థలానికి ఒక బ్యాగ్ తీసుకోండి,కానీ చాణక్యుడు,గోపురం,సామాజిక,1941-01-01,1958,1
250,గంగా గౌరీ సంవాదం,V. N. రెడ్డి,కాటు లావో,పురాణశాస్త్రం,1941-01-01,1958,1
251,ఇంటి గుట్టు,వేదాంతం రాఘవ,ఎన్.టి.రామారావు,ఫ్యామిలీ డ్రామా,1941-01-01,1958,1
252,కర్తవర్యుని కథ,T. R. రామన్న,ఎన్.టి.రామారావు,పురాణశాస్త్రం,1941-01-01,1958,1
253,కొండవీటి దొంగ,m. ఎ. ముఖం,రంజన్,కాదు_నిర్దిష్ట,1941-01-01,1958,1
254,మంచి మనసుకు మంచి రోజులు,C. S. రావు,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1958,1
255,ముందడుగు,కృష్ణారావు,జగ్గయ్య,నాటకం,1941-01-01,1958,1
256,పార్వతీ కళ్యాణం,కె. భాస్కర్ రావు,గోపురం,భక్తిప్రపత్తులు,1941-01-01,1958,1
257,పతి భక్తి,ఎ. భీంసింగ్,శివాజీ గణేశన్,నాటకం,1941-01-01,1958,1
258,నందిని రాజు,వేదాంతం రాఘవ,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1958,1
259,శభాష్ పిళ్ళా,బి. ర్. పంతులు,శివాజీ గణేశన్,రొమాంటిక్ కామెడీ,1941-01-01,1958,1
260,శోభా,కమలాకర కామేశ్వరరావు,ఎన్.టి.రామారావు,నాటకం,1941-01-01,1958,1
261,శ్రీ కృష్ణ గారడీ,I. V. రావు,జగ్గయ్య,పురాణశాస్త్రం,1941-01-01,1958,1
262,శ్రీ కృష్ణ మాయ,C. S. రావు,ఎ. నాగేశ్వరరావు,భక్తిప్రపత్తులు,1941-01-01,1958,1
263,శ్రీ రామాంజనేయ యుద్ధం,ఆచార్య,కాటు లావో,భక్తిప్రపత్తులు,1941-01-01,1958,1
264,ఉత్తమ ఇల్లాలు,A. S. A. సామి,జైమిని గణేశన్,జానపద సాహిత్యం,1941-01-01,1958,1
265,వీర ఖడ్గము,T. R. రామన్న,M. G. రామచంద్రన్,జానపద సాహిత్యం,1941-01-01,1958,1
266,వీర ప్రతాప్,టి.ప్రకాశరావు,శివాజీ గణేశన్,చారిత్రక,1941-01-01,1958,1
267,విజయ కోట వీరుడు,ఎస్. ఎస్. వాసన్,జైమిని గణేశన్,జానపద సాహిత్యం,1941-01-01,1958,1
268,ఆలు కూతురు,S. V. కృష్ణారావు,జగ్గయ్య,నాటకం,1941-01-01,1959,1
269,అనగనగా ఒక రాజు,M. G. రామచంద్రన్,M. G. రామచంద్రన్,యాక్షన్-సాహసం,1941-01-01,1959,1
270,అప్పు చేసి పప్పు కూడు,ఎల్. v. సమర్పణ,ఎన్.టి.రామారావు,రొమాంటిక్ కామెడీ,1941-01-01,1959,1
272,బాండ రాముడు,బి. హడావిడి,ఎన్.టి.రామారావు,జానపద సాహిత్యం,1941-01-01,1959,1
273,భాగ్య దేవత,కానీ చాణక్యుడు,జగయా,నాటకం,1941-01-01,1959,1
274,భక్త అంబరీష,బొల్లా సుబ్బారావు,కాటు లావో,భక్తిప్రపత్తులు,1941-01-01,1959,1
275,దైవ బలం,వసంత్ కుమార్ రెడ్డి,ఎన్.టి.రామారావు,పురాణశాస్త్రం,1941-01-01,1959,1
276,ఇల్లరికం,టి.ప్రకాశరావు,ఎ. నాగేశ్వరరావు,నాటకం,1941-01-01,1959,1
277,జయభేరి,బి. హడావిడి,ఎ. నాగేశ్వరరావు,పురాణశాస్త్రం,1941-01-01,1959,1
278,జై విజయ్,బి. విఠలాచార్య,కాటు లావో,ఫ్యామిలీ డ్రామా,1941-01-01,1959,1
279,కార్మిక విజయం,m. ఎ. ముఖం,జైమిని గణేశన్,కుటుంబం,1941-01-01,1959,1
280,కూతురు కాపురం,శోభనాద్రి రావు,జగయా,నాటకం,1941-01-01,1959,1
281,కృష్ణ లీలలు,చంద్రశేఖరరావు జంపాన,లక్ష్మీ రాజ్య,భక్తిప్రపత్తులు,1941-01-01,1959,1
282,మా ఇంటి మహాలక్ష్మి,జి. రామినేడు,గోపురం,నాటకం,1941-01-01,1959,1
283,మంగోలియా అరచేతి,ఆదుర్తి సుబ్బారావు,ఎ. నాగేశ్వరరావు,నాటకం,1941-01-01,1959,1
